nombre,direccion,codigo_postal,telefono,calificacion,numero_resenas,tipo_cocina,horario,sitio_web,coordenadas
Restaurante Rinconcito La Majada,"Calle Francisco Javier Mina 1597, Centro Sinaloa, Col. Centro, 80000 Culiacán Rosales, Sin., Mexico",80000,667 120 3065,4.7,576,"['restaurant', 'point_of_interest', 'food', 'establishment']","['Monday: 7:00\u202fAM\u2009–\u20091:00\u202fPM', 'Tuesday: 7:00\u202fAM\u2009–\u20091:00\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u20091:00\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u20091:00\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u20091:00\u202fPM', 'Saturday: 7:00\u202fAM\u2009–\u20091:00\u202fPM', 'Sunday: 7:00\u202fAM\u2009–\u20091:00\u202fPM']",,"{'lat': 24.7952676, 'lng': -107.409966}"
Restaurante Siento & Tantos,"Calle Gral. Angel Flores 168, Primer Cuadro, Colonia Centro, 80000 Culiacán Rosales, Sin., Mexico",80000,667 525 0660,4.3,435,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']","['Monday: 8:00\u202fAM\u2009–\u20092:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20092:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20092:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20092:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20092:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20092:00\u202fPM', 'Sunday: 8:00\u202fAM\u2009–\u20092:00\u202fPM']",https://www.facebook.com/sientoytantos,"{'lat': 24.809113, 'lng': -107.3928627}"
Palomar de los Pobres,"Blvd. Francisco I. Madero 351, Primer Cuadro, 80000 Culiacán Rosales, Sin., Mexico",80000,667 752 0040,4.3,2063,"['restaurant', 'food', 'point_of_interest', 'establishment']","['Monday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Sunday: 8:00\u202fAM\u2009–\u20098:00\u202fPM']",http://palomardelospobres.com.mx/,"{'lat': 24.8046611, 'lng': -107.39891}"
Los Antiguos Portales de Culiacán,"Ruperto L. Paliza 574, Primer Cuadro, 80000 Culiacán Rosales, Sin., Mexico",80000,667 752 1978,4.2,533,"['restaurant', 'food', 'point_of_interest', 'establishment']","['Monday: 7:00\u202fAM\u2009–\u200912:00\u202fAM', 'Tuesday: 7:00\u202fAM\u2009–\u200912:00\u202fAM', 'Wednesday: 7:00\u202fAM\u2009–\u200912:00\u202fAM', 'Thursday: 7:00\u202fAM\u2009–\u200912:00\u202fAM', 'Friday: 7:00\u202fAM\u2009–\u20091:00\u202fAM', 'Saturday: 7:00\u202fAM\u2009–\u20091:00\u202fAM', 'Sunday: 7:00\u202fAM\u2009–\u200912:00\u202fAM']",,"{'lat': 24.809856, 'lng': -107.393705}"
Bar El Guayabo,"Calle Francisco Villa & Vicente Riva Palacio, Centro Sinaloa, Primer Cuadro, 80000 Culiacán Rosales, Sin., Mexico",80000,667 712 2557,4.6,2151,"['restaurant', 'bar', 'point_of_interest', 'food', 'establishment']","['Monday: 12:00\u2009–\u200911:00\u202fPM', 'Tuesday: 12:00\u2009–\u200911:00\u202fPM', 'Wednesday: 12:00\u2009–\u200911:00\u202fPM', 'Thursday: 12:00\u2009–\u200911:00\u202fPM', 'Friday: 12:00\u2009–\u200911:00\u202fPM', 'Saturday: 12:00\u2009–\u200911:00\u202fPM', 'Sunday: 12:00\u2009–\u20098:00\u202fPM']",https://www.facebook.com/ForodelSaber/,"{'lat': 24.8034197, 'lng': -107.4004868}"
KAES Restaurante + Café,"Calle Cristobal Colón Avenida, Lateral Oriente 748 A, Primer Cuadro, Centro, 80000 Culiacán Rosales, Sin., Mexico",80000,667 275 9907,4.7,150,"['restaurant', 'cafe', 'food', 'point_of_interest', 'store', 'establishment']","['Monday: Closed', 'Tuesday: 7:00\u202fAM\u2009–\u20092:00\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u20092:00\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u20092:00\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u20092:00\u202fPM', 'Saturday: 7:00\u202fAM\u2009–\u20092:00\u202fPM', 'Sunday: 7:00\u202fAM\u2009–\u20092:00\u202fPM']",,"{'lat': 24.8059093, 'lng': -107.3860509}"
Ipanema Do Brasil,"Mariano Escobedo 373, Primer Cuadro, Centro, 80000 Culiacán Rosales, Sin., Mexico",80000,667 569 5811,4.4,1080,"['restaurant', 'food', 'point_of_interest', 'establishment']","['Monday: 12:00\u2009–\u20098:00\u202fPM', 'Tuesday: 12:00\u2009–\u20098:00\u202fPM', 'Wednesday: 12:00\u2009–\u20098:00\u202fPM', 'Thursday: 12:00\u2009–\u20098:00\u202fPM', 'Friday: 12:00\u2009–\u20098:00\u202fPM', 'Saturday: 12:00\u2009–\u20098:00\u202fPM', 'Sunday: 12:00\u2009–\u20098:00\u202fPM']",https://www.facebook.com/share/1AJnAq7DUx/?mibextid=wwXIfr,"{'lat': 24.8063198, 'lng': -107.3993996}"
La Bodega Wings & Beer,"Calle Gral. Angel Flores 183, Primer Cuadro, 80000 Culiacán Rosales, Sin., Mexico",80000,667 275 5225,4.4,645,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","['Monday: 12:00\u202fPM\u2009–\u20091:00\u202fAM', 'Tuesday: Closed', 'Wednesday: 12:00\u202fPM\u2009–\u20091:00\u202fAM', 'Thursday: 12:00\u202fPM\u2009–\u20091:00\u202fAM', 'Friday: 12:00\u202fPM\u2009–\u20091:00\u202fAM', 'Saturday: 12:00\u202fPM\u2009–\u20091:00\u202fAM', 'Sunday: 12:00\u202fPM\u2009–\u20091:00\u202fAM']",http://instagram.com/labodegacln,"{'lat': 24.8092916, 'lng': -107.3927109}"
Karnes en su Jugo,"Blvd Fco I. Madero, Oriente 153, Primer Cuadro, Centro, 80000 Culiacán Rosales, Sin., Mexico",80000,667 712 7877,4.2,1077,"['restaurant', 'food', 'point_of_interest', 'establishment']","['Monday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u200910:00\u202fPM']",,"{'lat': 24.8049771, 'lng': -107.3924831}"
Pipirin Restaurante,"Primer Cuadro General Angel Flores 71, Calle Gral. Angel Flores 75, Centro, Primer Cuadro, 80000 Culiacán Rosales, Sin., Mexico",80000,667 713 8006,4.3,858,"['restaurant', 'food', 'point_of_interest', 'establishment']","['Monday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Sunday: Closed']",http://www.elpipirin.com/,"{'lat': 24.8089814, 'lng': -107.3954936}"
Casa María,"Av Gral Ramón Corona, Primer Cuadro, centro, 80000 Culiacán Rosales, Sin., Mexico",80000,667 712 5095,4.5,1901,"['restaurant', 'food', 'point_of_interest', 'establishment']","['Monday: 7:00\u202fAM\u2009–\u20091:30\u202fPM', 'Tuesday: 7:00\u202fAM\u2009–\u20091:30\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u20091:30\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u20091:30\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u20091:30\u202fPM', 'Saturday: 7:00\u202fAM\u2009–\u20091:30\u202fPM', 'Sunday: 7:00\u202fAM\u2009–\u20091:30\u202fPM']",,"{'lat': 24.8077618, 'lng': -107.3913281}"
