nombre,direccion,codigo_postal,telefono,calificacion,numero_resenas,tipo_cocina,horario,sitio_web,coordenadas
"Café ""La Creación""","Calz. de las Torres 2374, Prados del Sol, 80197 Culiacán Rosales, Sin., Mexico",80197,667 275 8037,4.7,3,"['restaurant', 'food', 'point_of_interest', 'establishment']","['Monday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Sunday: Closed']",https://www.facebook.com/lacreacioncaf3/,"{'lat': 24.7541149, 'lng': -107.4135317}"
Bistro Marina Premium,"Blvrd Enrique Sánchez Alonso 2077-Local B-029 B-030, Desarrollo Urbano Tres Ríos, 80020 Culiacán Rosales, Sin., Mexico",80020,667 395 7352,5,1840,"['restaurant', 'food', 'point_of_interest', 'establishment']","['Monday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Sunday: 8:00\u202fAM\u2009–\u200910:00\u202fPM']",,"{'lat': 24.822777, 'lng': -107.4002681}"
Mi Ranchito Los Osuna,"Plaza Riveras, Blvrd Alfonso Zaragoza Maytorena 1850, Desarrollo Urbano Tres Ríos, 80020 Culiacán Rosales, Sin., Mexico",80020,667 170 9517,4.6,454,"['restaurant', 'food', 'point_of_interest', 'establishment']","['Monday: 7:30\u202fAM\u2009–\u20094:00\u202fPM', 'Tuesday: 7:30\u202fAM\u2009–\u20094:00\u202fPM', 'Wednesday: 7:30\u202fAM\u2009–\u20094:00\u202fPM', 'Thursday: 7:30\u202fAM\u2009–\u20094:00\u202fPM', 'Friday: 7:30\u202fAM\u2009–\u20096:00\u202fPM', 'Saturday: 7:30\u202fAM\u2009–\u20096:00\u202fPM', 'Sunday: 7:30\u202fAM\u2009–\u20096:00\u202fPM']",http://miranchitolososuna.com/,"{'lat': 24.8200622, 'lng': -107.4048768}"
Vicentillo's Prime,"Blvrd Enrique Sánchez Alonso 2079, Desarrollo Urbano Tres Ríos, 80020 Culiacán Rosales, Sin., Mexico",80020,667 305 1612,4.2,70,"['restaurant', 'food', 'point_of_interest', 'establishment']","['Monday: 1:00\u2009–\u200910:00\u202fPM', 'Tuesday: 1:00\u2009–\u200910:00\u202fPM', 'Wednesday: 1:00\u2009–\u200910:00\u202fPM', 'Thursday: 1:00\u2009–\u200910:00\u202fPM', 'Friday: 1:00\u2009–\u200910:00\u202fPM', 'Saturday: 1:00\u2009–\u200910:00\u202fPM', 'Sunday: 1:00\u2009–\u200910:00\u202fPM']",https://vicentillos.com/,"{'lat': 24.8233867, 'lng': -107.4010223}"
Ballpark Culiacán,"Plaza comercial Cuatro Ríos, Blvrd Enrique Sánchez Alonso 2079, Desarrollo Urbano Tres Ríos, 80020 Culiacán Rosales, Sin., Mexico",80020,667 308 0335,4.3,69,"['restaurant', 'food', 'point_of_interest', 'establishment']","['Monday: 1:00\u2009–\u200910:00\u202fPM', 'Tuesday: 1:00\u2009–\u200910:00\u202fPM', 'Wednesday: 1:00\u2009–\u200910:00\u202fPM', 'Thursday: 1:00\u2009–\u200910:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Sunday: 8:00\u202fAM\u2009–\u200910:00\u202fPM']",http://www.ballpark.mx/,"{'lat': 24.8224373, 'lng': -107.4007648}"
On Top Kitchen & Bar,"Blvd. Rotarismo 2095, Humaya, Bonanza, 80020 Culiacán Rosales, Sin., Mexico",80020,667 695 6320,4.9,7,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']","['Monday: Closed', 'Tuesday: 3:00\u2009–\u20099:45\u202fPM', 'Wednesday: 3:00\u2009–\u20099:45\u202fPM', 'Thursday: 3:00\u2009–\u20099:45\u202fPM', 'Friday: 3:00\u2009–\u20099:45\u202fPM', 'Saturday: 3:00\u2009–\u20099:45\u202fPM', 'Sunday: 3:00\u2009–\u20099:45\u202fPM']",https://instagram.com/ontopkitchenbar,"{'lat': 24.8239554, 'lng': -107.4061826}"
All Marina,"Sria. de Programación y Presup. 1803-3, Fovissste Humaya, Diamante, 80020 Culiacán Rosales, Sin., Mexico",80020,667 422 4280,4.7,37,"['restaurant', 'food', 'point_of_interest', 'establishment']","['Monday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: 11:00\u202fAM\u2009–\u20092:00\u202fPM']",,"{'lat': 24.8299758, 'lng': -107.4140064}"
"Murmullos MB, Suc. Culiacán","Blvrd Alfonso Zaragoza Maytorena 1364, Desarrollo Urbano Tres Ríos, 80020 Culiacán Rosales, Sin., Mexico",80020,667 146 2580,4.5,859,"['restaurant', 'food', 'point_of_interest', 'establishment']","['Monday: 7:00\u202fAM\u2009–\u200912:00\u202fAM', 'Tuesday: 7:00\u202fAM\u2009–\u200912:00\u202fAM', 'Wednesday: 7:00\u202fAM\u2009–\u200912:00\u202fAM', 'Thursday: 7:00\u202fAM\u2009–\u20091:00\u202fAM', 'Friday: 7:00\u202fAM\u2009–\u20091:00\u202fAM', 'Saturday: 7:00\u202fAM\u2009–\u20091:00\u202fAM', 'Sunday: 7:00\u202fAM\u2009–\u200912:00\u202fAM']",,"{'lat': 24.81331299999999, 'lng': -107.4082454}"
Yokozuna Ramen,"Blvrd Enrique Sánchez Alonso 2077, Desarrollo Urbano Tres Ríos, 80020 Culiacán Rosales, Sin., Mexico",80020,667 350 9000,4.7,697,"['restaurant', 'food', 'point_of_interest', 'establishment']","['Monday: 1:00\u2009–\u20098:00\u202fPM', 'Tuesday: 1:00\u2009–\u20098:00\u202fPM', 'Wednesday: 1:00\u2009–\u20098:00\u202fPM', 'Thursday: 1:00\u2009–\u20098:00\u202fPM', 'Friday: 1:00\u2009–\u20098:00\u202fPM', 'Saturday: 1:00\u2009–\u20098:00\u202fPM', 'Sunday: 1:00\u2009–\u20098:00\u202fPM']",https://reeply.mx/yokozunaramencln/,"{'lat': 24.8231859, 'lng': -107.4010358}"
Cabanna Restaurant,"Blvd. Francisco Labastida Ochoa 1695, Desarrollo Urbano Tres Ríos, 80020 Culiacán Rosales, Sin., Mexico",80020,667 712 0919,4.7,5712,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","['Monday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Sunday: 8:00\u202fAM\u2009–\u20096:00\u202fPM']",https://cabanna.com.mx/,"{'lat': 24.8158402, 'lng': -107.3998847}"
Almacén del Bife Culiacan,"Centro comercial Cuatro Ríos, Blvrd Enrique Sánchez Alonso 2079, Desarrollo Urbano Tres Ríos, 80020 Culiacán Rosales, Sin., Mexico",80020,667 764 4354,4.7,73,"['restaurant', 'point_of_interest', 'food', 'establishment']","['Monday: 1:30\u202fPM\u2009–\u200912:00\u202fAM', 'Tuesday: 1:30\u202fPM\u2009–\u200912:00\u202fAM', 'Wednesday: 1:30\u202fPM\u2009–\u200912:00\u202fAM', 'Thursday: 1:30\u202fPM\u2009–\u200912:00\u202fAM', 'Friday: 1:30\u202fPM\u2009–\u200912:00\u202fAM', 'Saturday: 1:30\u202fPM\u2009–\u200912:00\u202fAM', 'Sunday: 1:30\u2009–\u20097:00\u202fPM']",http://www.almacendelbife.com/,"{'lat': 24.8226573, 'lng': -107.400707}"
La Terraza Restaurante,"Diego Valadés Ríos 99, Desarrollo Urbano Tres Ríos, 80020 Culiacán Rosales, Sin., Mexico",80020,667 759 0000,4.5,187,"['cafe', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']","['Monday: 6:00\u202fAM\u2009–\u200910:00\u202fPM', 'Tuesday: 6:00\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 6:00\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 6:00\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 6:00\u202fAM\u2009–\u200910:00\u202fPM', 'Saturday: 6:00\u202fAM\u2009–\u200910:00\u202fPM', 'Sunday: 6:00\u202fAM\u2009–\u200910:00\u202fPM']",,"{'lat': 24.8137117, 'lng': -107.3984685}"
